lat,lng,city
27.999847143,107.20672005,520300
25.819383816,103.47317495,520400
31.145593576,109.07693136,520500
28.441632571,108.9224055,520600
24.944642975,103.11634183,522300
27.061928825,108.70586468,522600
25.86053825,104.31040597,522700
25.601665522,101.02367847,530100
25.234546549,100.84771599,530300
24.867333648,101.350642,530400
24.6373141,96.548682625,530500
27.152630028,102.71974692,530600
26.38923893,98.555378698,530700
23.586374234,100.0664937,530800
25.017912342,100.6450735,530900
25.366930607,101.80621669,532300
23.946228494,100.97057036,532500
23.828593788,104.74692308,532600
22.049914273,96.867642792,532800
25.569016542,97.217723367,532900
24.358709235,98.247343088,533100
26.314164867,99.205492,533300
27.73510725,99.393316125,533400
23.795150815,74.56573237,540100
21.6917974,84.6304408,542100
22.411616938,72.053983813,542200
30.0696729,103.6191899,542300
31.683988,91.436309778,542400
26.900979,73.4621852,542500
26.348061333,83.861567444,542600
33.985417399,108.44461873,610100
34.595196709,107.67019515,610200
34.402513878,107.38170758,610300
34.349738825,108.27472165,610400
34.692621297,109.98295611,610500
36.094807338,108.90657451,610600
33.148916304,107.55558008,610700
37.936682351,110.05371215,610800
32.226073358,107.54744334,610900
33.785783514,110.09039968,611000
35.702060168,103.73538037,620100
39.78454584,98.28005852,620200
36.288252895,103.197658,620300
36.310725542,104.53154027,620400
34.470200117,105.9685662,620500
37.923713971,103.62247462,620600
38.48767359,101.03760041,620700
35.6542205,107.27044379,620800
39.387499095,98.783844262,620900
36.173839091,108.468143,621000
35.11443115,105.36004381,621100
34.165338973,105.58890989,621200
35.165473552,104.19399802,622900
34.402271742,103.19168145,623000
35.965888939,101.76164652,630100
35.795119142,103.94819341,632100
37.278908714,100.96961843,632200
35.4955018,101.9281953,632300
35.451447571,101.05042211,632500
34.557620667,100.96399656,632600
33.047344368,96.811695632,632700
36.6202674,96.4681396,632800
37.907750487,105.66508779,640100
38.828250586,106.71474083,640200
38.037486939,106.93831073,640300
36.220136414,106.91943966,640400
37.152897647,105.49626441,640500
41.037624163,89.161541102,650100
42.359273,91.7470842,650200
41.597551424,86.593451636,652100
41.409450808,92.902546654,652200
41.847071489,88.548584052,652300
43.376083,87.847940055,652700
39.122109866,92.252811423,652800
41.119598038,86.30762875,652900
39.678853333,76.157021417,653000
39.23479938,79.575690033,653100
35.921699091,79.265397386,653200
41.682220763,83.00747977,654000
43.564765717,83.80403775,654200
46.269777297,86.874051766,654300
40.798677741,84.478282348,659000
